state,total_commuters,outofcounty_commuters,percent_leaving,travel_mode
Alabama,189117,57560,0.30436185,"Car, truck, or van: Carpooled"
Alaska,44833,4339,0.096781389,"Car, truck, or van: Carpooled"
Arizona,306070,23061,0.075345509,"Car, truck, or van: Carpooled"
Arkansas,132651,36749,0.277035228,"Car, truck, or van: Carpooled"
California,1837784,397014,0.216028652,"Car, truck, or van: Carpooled"
Colorado,243493,93007,0.381969913,"Car, truck, or van: Carpooled"
Connecticut,143974,34794,0.241668635,"Car, truck, or van: Carpooled"
Delaware,37312,7404,0.19843482,"Car, truck, or van: Carpooled"
District of Columbia,18510,5180,0.27984873,"Car, truck, or van: Carpooled"
Florida,793013,158038,0.199288032,"Car, truck, or van: Carpooled"
Georgia,436408,184349,0.422423512,"Car, truck, or van: Carpooled"
Hawaii,95101,792,0.008327988,"Car, truck, or van: Carpooled"
Idaho,68124,18895,0.27736187,"Car, truck, or van: Carpooled"
Illinois,513673,144077,0.280483888,"Car, truck, or van: Carpooled"
Indiana,257465,87770,0.340900705,"Car, truck, or van: Carpooled"
Iowa,138436,41617,0.30062267,"Car, truck, or van: Carpooled"
Kansas,128100,36355,0.283801717,"Car, truck, or van: Carpooled"
Kentucky,178195,61317,0.344100564,"Car, truck, or van: Carpooled"
Louisiana,197265,63535,0.322079436,"Car, truck, or van: Carpooled"
Maine,63021,16906,0.268259786,"Car, truck, or van: Carpooled"
Maryland,287977,141204,0.490330825,"Car, truck, or van: Carpooled"
Massachusetts,254985,90676,0.355613075,"Car, truck, or van: Carpooled"
Michigan,365304,118281,0.323787859,"Car, truck, or van: Carpooled"
Minnesota,238088,92193,0.387222372,"Car, truck, or van: Carpooled"
Mississippi,121587,44672,0.3674077,"Car, truck, or van: Carpooled"
Missouri,257453,102043,0.39635584,"Car, truck, or van: Carpooled"
Montana,45889,6235,0.135871342,"Car, truck, or van: Carpooled"
Nebraska,90427,23708,0.262178332,"Car, truck, or van: Carpooled"
Nevada,131497,10655,0.081028465,"Car, truck, or van: Carpooled"
New Hampshire,53435,20168,0.377430523,"Car, truck, or van: Carpooled"
New Jersey,344842,158714,0.460251361,"Car, truck, or van: Carpooled"
New Mexico,93131,17986,0.193125812,"Car, truck, or van: Carpooled"
New York,615665,215407,0.349876962,"Car, truck, or van: Carpooled"
North Carolina,430079,130537,0.303518656,"Car, truck, or van: Carpooled"
North Dakota,35257,7962,0.225827495,"Car, truck, or van: Carpooled"
Ohio,411596,125103,0.303946102,"Car, truck, or van: Carpooled"
Oklahoma,174717,46380,0.265457855,"Car, truck, or van: Carpooled"
Oregon,172598,45125,0.261445671,"Car, truck, or van: Carpooled"
Pennsylvania,508907,159893,0.314189037,"Car, truck, or van: Carpooled"
Puerto Rico,99338,51190,0.515311361,"Car, truck, or van: Carpooled"
Rhode Island,41990,15060,0.358656823,"Car, truck, or van: Carpooled"
South Carolina,185514,53965,0.290894488,"Car, truck, or van: Carpooled"
South Dakota,39372,10072,0.255816316,"Car, truck, or van: Carpooled"
Tennessee,259553,77165,0.297299588,"Car, truck, or van: Carpooled"
Texas,1250881,284240,0.227231847,"Car, truck, or van: Carpooled"
